subject,predicate,object
Acquired Abnormality,co-occurs_with,Injury or Poisoning
Acquired Abnormality,isa,Anatomical Abnormality
Acquired Abnormality,result_of,Behavior
Activity,isa,Event
Age Group,isa,Group
Amino Acid Sequence,isa,Molecular Sequence
Amino Acid Sequence,property_of,"Amino Acid, Peptide, or Protein"
Amino Acid Sequence,property_of,Gene or Genome
"Amino Acid, Peptide, or Protein",consists_of,"Amino Acid, Peptide, or Protein"
"Amino Acid, Peptide, or Protein",isa,Organic Chemical
Amphibian,isa,Vertebrate
Anatomical Abnormality,affects,Organism
Anatomical Abnormality,affects,Physiologic Function
Anatomical Abnormality,associated_with,Organism Attribute
Anatomical Abnormality,co-occurs_with,Anatomical Abnormality
Anatomical Abnormality,complicates,Anatomical Abnormality
Anatomical Abnormality,isa,Anatomical Structure
Anatomical Abnormality,location_of,Pathologic Function
Anatomical Abnormality,manifestation_of,Biologic Function
Anatomical Abnormality,occurs_in,Group
Anatomical Abnormality,result_of,Anatomical Abnormality
Anatomical Abnormality,result_of,Health Care Activity
Anatomical Abnormality,result_of,Phenomenon or Process
Anatomical Structure,isa,Physical Object
Anatomical Structure,location_of,Bacterium
Anatomical Structure,location_of,Fungus
Anatomical Structure,location_of,Virus
Anatomical Structure,part_of,Organism
Animal,exhibits,Behavior
Animal,isa,Eukaryote
Antibiotic,isa,Pharmacologic Substance
Archaeon,isa,Organism
Bacterium,causes,Pathologic Function
Bacterium,isa,Organism
Bacterium,location_of,Biologically Active Substance
Behavior,affects,Behavior
Behavior,affects,Mental Process
Behavior,associated_with,Geographic Area
Behavior,associated_with,Group Attribute
Behavior,associated_with,Group
Behavior,associated_with,Occupation or Discipline
Behavior,associated_with,Organism Attribute
Behavior,isa,Activity
Behavior,manifestation_of,Mental Process
Behavior,manifestation_of,Mental or Behavioral Dysfunction
Behavior,result_of,Mental Process
Biologic Function,affects,Organism
Biologic Function,isa,Natural Phenomenon or Process
Biologic Function,process_of,Organism
Biologic Function,produces,Biologically Active Substance
Biologic Function,produces,Body Substance
Biologically Active Substance,associated_with,Virus
Biologically Active Substance,complicates,Anatomical Abnormality
Biologically Active Substance,complicates,Biologic Function
Biologically Active Substance,complicates,Injury or Poisoning
Biologically Active Substance,disrupts,Embryonic Structure
Biologically Active Substance,disrupts,Fully Formed Anatomical Structure
Biologically Active Substance,disrupts,Physiologic Function
Biologically Active Substance,isa,Chemical Viewed Functionally
Biomedical Occupation or Discipline,isa,Occupation or Discipline
Biomedical or Dental Material,isa,Chemical Viewed Functionally
Bird,isa,Vertebrate
Body Location or Region,adjacent_to,Body Location or Region
Body Location or Region,adjacent_to,"Body Part, Organ, or Organ Component"
Body Location or Region,adjacent_to,Body Space or Junction
Body Location or Region,conceptual_part_of,Body Location or Region
Body Location or Region,conceptual_part_of,Body System
Body Location or Region,conceptual_part_of,Fully Formed Anatomical Structure
Body Location or Region,connected_to,Body Location or Region
Body Location or Region,isa,Spatial Concept
Body Location or Region,location_of,Anatomical Abnormality
Body Location or Region,location_of,Biologic Function
Body Location or Region,location_of,Body Location or Region
Body Location or Region,location_of,"Body Part, Organ, or Organ Component"
Body Location or Region,location_of,Diagnostic Procedure
Body Location or Region,location_of,Injury or Poisoning
Body Location or Region,location_of,Therapeutic or Preventive Procedure
Body Location or Region,location_of,Tissue
Body Location or Region,traverses,Body Location or Region
"Body Part, Organ, or Organ Component",adjacent_to,"Body Part, Organ, or Organ Component"
"Body Part, Organ, or Organ Component",adjacent_to,Body Space or Junction
"Body Part, Organ, or Organ Component",adjacent_to,Cell
"Body Part, Organ, or Organ Component",adjacent_to,Tissue
"Body Part, Organ, or Organ Component",branch_of,"Body Part, Organ, or Organ Component"
"Body Part, Organ, or Organ Component",conceptual_part_of,Body System
"Body Part, Organ, or Organ Component",connected_to,"Body Part, Organ, or Organ Component"
"Body Part, Organ, or Organ Component",connected_to,Body Space or Junction
"Body Part, Organ, or Organ Component",connected_to,Body Substance
"Body Part, Organ, or Organ Component",connected_to,Tissue
"Body Part, Organ, or Organ Component",consists_of,"Body Part, Organ, or Organ Component"
"Body Part, Organ, or Organ Component",consists_of,Body Substance
"Body Part, Organ, or Organ Component",developmental_form_of,"Body Part, Organ, or Organ Component"
"Body Part, Organ, or Organ Component",interconnects,Body Space or Junction
"Body Part, Organ, or Organ Component",isa,Fully Formed Anatomical Structure
"Body Part, Organ, or Organ Component",location_of,Body Location or Region
"Body Part, Organ, or Organ Component",location_of,Body Space or Junction
"Body Part, Organ, or Organ Component",location_of,Diagnostic Procedure
"Body Part, Organ, or Organ Component",location_of,Therapeutic or Preventive Procedure
"Body Part, Organ, or Organ Component",part_of,"Body Part, Organ, or Organ Component"
"Body Part, Organ, or Organ Component",surrounds,"Body Part, Organ, or Organ Component"
"Body Part, Organ, or Organ Component",surrounds,Tissue
"Body Part, Organ, or Organ Component",traverses,"Body Part, Organ, or Organ Component"
"Body Part, Organ, or Organ Component",tributary_of,"Body Part, Organ, or Organ Component"
Body Space or Junction,adjacent_to,Body Space or Junction
Body Space or Junction,conceptual_part_of,Body System
Body Space or Junction,conceptual_part_of,Fully Formed Anatomical Structure
Body Space or Junction,connected_to,Tissue
Body Space or Junction,contains,"Body Part, Organ, or Organ Component"
Body Space or Junction,contains,Body Substance
Body Space or Junction,contains,Tissue
Body Space or Junction,interconnects,Cell
Body Space or Junction,isa,Spatial Concept
Body Space or Junction,location_of,Anatomical Abnormality
Body Space or Junction,location_of,Biologic Function
Body Space or Junction,location_of,Body Space or Junction
Body Space or Junction,location_of,Body Substance
Body Space or Junction,location_of,Cell Component
Body Space or Junction,location_of,Diagnostic Procedure
Body Space or Junction,location_of,Injury or Poisoning
Body Space or Junction,location_of,Therapeutic or Preventive Procedure
Body Space or Junction,part_of,"Body Part, Organ, or Organ Component"
Body Space or Junction,surrounds,Body Space or Junction
Body Space or Junction,surrounds,Cell
Body Substance,conceptual_part_of,Body System
Body Substance,consists_of,Body Substance
Body Substance,consists_of,Organic Chemical
Body Substance,derivative_of,Tissue
Body Substance,isa,Substance
Body Substance,part_of,"Body Part, Organ, or Organ Component"
Body Substance,part_of,Body Substance
Body Substance,surrounds,Embryonic Structure
Body System,conceptual_part_of,Body System
Body System,conceptual_part_of,Fully Formed Anatomical Structure
Body System,isa,Functional Concept
Carbohydrate Sequence,isa,Molecular Sequence
Cell Component,adjacent_to,Body Space or Junction
Cell Component,adjacent_to,Cell Component
Cell Component,affects,Physiologic Function
Cell Component,conceptual_part_of,Body System
Cell Component,isa,Fully Formed Anatomical Structure
Cell Component,location_of,Body Space or Junction
Cell Component,location_of,Diagnostic Procedure
Cell Component,location_of,Therapeutic or Preventive Procedure
Cell Component,part_of,"Body Part, Organ, or Organ Component"
Cell Component,part_of,Cell Component
Cell Component,part_of,Cell
Cell Component,part_of,Tissue
Cell Component,surrounds,Cell Component
Cell Function,isa,Physiologic Function
Cell or Molecular Dysfunction,isa,Pathologic Function
Cell,adjacent_to,Cell
Cell,conceptual_part_of,Body System
Cell,consists_of,Cell
Cell,developmental_form_of,Cell
Cell,isa,Fully Formed Anatomical Structure
Cell,location_of,Body Space or Junction
Cell,location_of,Diagnostic Procedure
Cell,location_of,Therapeutic or Preventive Procedure
Cell,part_of,"Body Part, Organ, or Organ Component"
Cell,part_of,Cell
Cell,part_of,Tissue
Chemical Viewed Functionally,isa,Chemical
Chemical Viewed Structurally,isa,Chemical
Chemical,affects,Natural Phenomenon or Process
Chemical,interacts_with,Chemical
Chemical,isa,Substance
Classification,isa,Intellectual Product
Clinical Attribute,isa,Organism Attribute
Clinical Drug,isa,Manufactured Object
Conceptual Entity,isa,Entity
Congenital Abnormality,isa,Anatomical Abnormality
Daily or Recreational Activity,associated_with,Anatomical Abnormality
Daily or Recreational Activity,associated_with,Injury or Poisoning
Daily or Recreational Activity,associated_with,Pathologic Function
Daily or Recreational Activity,isa,Activity
Diagnostic Procedure,affects,Patient or Disabled Group
Diagnostic Procedure,analyzes,Body Substance
Diagnostic Procedure,analyzes,Chemical
Diagnostic Procedure,assesses_effect_of,Chemical
Diagnostic Procedure,diagnoses,Anatomical Abnormality
Diagnostic Procedure,diagnoses,Injury or Poisoning
Diagnostic Procedure,diagnoses,Pathologic Function
